"UID","geno","block","row","col","dry_matter_plant_15","fresh_weight_plant_15","moisture_content_15","dry_matter_plant_16","fresh_weight_plant_16","moisture_content_16"
"65119","Mb-961_16","3","29","17","1.41994","1.65","13.943199999999999","1.734","2.16","19.7"
"65124","Mb-307","3","34","17","NA","NA","NA","NA","NA","NA"
"65163","Mb-142","3","8","18","8.3762900000000001E-2","0.1","16.237100000000002","0.98299999999999998","1.24","20.7"
"74825","Mb-1037_52","1","30","6","NA","NA","NA","NA","NA","NA"
"74829","Mb-1067_18","1","18","3","0.54976100000000006","0.86","36.074300000000001","1.9650000000000001","3.0790000000000002","36.200000000000003"
"74839","Mb-1182_16","1","12","13","1.51617","4.62","67.182599999999994","3.218","6.5119999999999996","50.6"
"74965","Mb-526_13","1","37","2","0.472472","0.57999999999999996","18.539300000000001","0.91","1.1359999999999999","19.899999999999999"
"74966","Mb-527_1","1","39","6","0.39239800000000002","0.5","21.520299999999999","1.2809999999999999","1.599","19.899999999999999"
"74976","Mb-585_1","1","31","11","NA","NA","NA","NA","NA","NA"
"74993","Mb-770_18","1","29","4","NA","NA","NA","NA","NA","NA"
"75004","Mb-819_19","1","14","11","3.6596099999999999E-2","0.06","39.006599999999999","0.23400000000000001","0.29799999999999999","21.6"
"75012","Mb-928_18","1","39","14","0.34937299999999999","0.8","56.328400000000002","1.337","2.552","47.6"
"75013","Mb-930","1","10","10","1.2860400000000001","2.84","54.716999999999999","1.609","3.0139999999999998","46.6"
"75019","Mb-974_19","1","23","2","0.305954","0.54","43.341900000000003","1.212","1.8149999999999999","33.200000000000003"
"75020","Mb-99","1","30","14","1.0570600000000001","2.02","47.670200000000001","2.032","3.0760000000000001","33.9"
"75075","Mb-810_11","1","5","2","0.248556","0.3","17.148","NA","NA","NA"
"75251","Mb-1037_52","2","33","6","0.29958299999999999","0.35","14.404999999999999","NA","NA","NA"
"75252","Mb-1044_50","2","31","9","0.27013900000000002","0.35","22.817499999999999","0.63500000000000001","0.75600000000000001","16"
"75263","Mb-1153_20","2","31","6","2.75","5.5","50","4.3739999999999997","8.1189999999999998","46.1"
"75275","Mb-1205_12","2","37","10","1.85965","2.65","29.8246","2.0329999999999999","3.169","35.799999999999997"
"75286","Mb-1231_18","2","40","5","1.0680499999999999","1.95","45.228200000000001","3.1280000000000001","5.1130000000000004","38.799999999999997"
"75290","Mb-1261_15","2","11","12","0.41541","0.5","16.917999999999999","1.9","2.2400000000000002","15.2"
"75402","Mb-527_1","2","15","7","0.468696","0.55000000000000004","14.7826","0.99","1.214","18.5"
"75412","Mb-585_1","2","33","11","0.73322699999999996","0.95","22.818200000000001","1.69","2.0299999999999998","16.7"
"75431","Mb-770_18","2","16","6","0.24371499999999999","0.3","18.761700000000001","0.53700000000000003","0.65200000000000002","17.600000000000001"
"75438","Mb-810_11","2","10","9","4.58E-2","5.756E-2","20.430900000000001","0.51900000000000002","0.628","17.3"
"75448","Mb-893_11","2","20","6","2.0783900000000002","4.5","53.813600000000001","3.238","5.9450000000000003","45.5"
"75453","Mb-913_17","2","21","1","1.16252","1.4","16.962800000000001","2.8149999999999999","3.3940000000000001","17.100000000000001"
"75455","Mb-928_18","2","9","10","2.5872000000000002","4.55","43.138500000000001","0.95599999999999996","1.1599999999999999","17.600000000000001"
"75457","Mb-933_11","2","21","7","2.7508499999999998","5.15","46.5854","4.2729999999999997","7.4320000000000004","42.5"
"75458","Mb-935_13","2","12","10","0.87025300000000005","1.25","30.3797","9.9750000000000005E-2","0.1305","23.6"
"75476","Mx-1933_11","2","2","11","0.76185199999999997","0.9","15.3498","1.0760000000000001","1.3120000000000001","18"
"75497","Mx-2446_1","2","16","15","1.5777600000000001","2.9","45.594700000000003","3.4620000000000002","5.8929999999999998","41.3"
"75528","Mb-1067_18","3","11","1","0.30756699999999998","0.45","31.651800000000001","1.1499999999999999","2.14","46.2"
"75539","Mb-1153_20","3","1","14","2.57395","4.6500000000000004","44.6462","3.2290000000000001","6.34","49.1"
"75554","Mb-1205_12","3","10","2","1.78624","2.1","14.9412","2.71","3.5779999999999998","24.3"
"75565","Mb-1231_18","3","1","1","1.9181999999999999","3.7","48.156799999999997","3.3380000000000001","5.98","44.2"
"75570","Mb-1261_15","3","17","3","0.38242500000000001","0.45","15.0168","NA","NA","NA"
"75690","Mb-526_13","3","13","10","4.0239700000000003E-2","0.05","19.520499999999998","0.503","0.62","19"
"75719","Mb-770_18","3","6","2","0.130189","0.15","13.2075","0.748","0.9","16.8"
"75727","Mb-810_11","3","18","10","0.125612","0.15","16.258700000000001","5.7099999999999998E-2","8.1549999999999997E-2","30"
"75733","Mb-819_19","3","11","2","0.117103","0.15","21.931000000000001","0.65100000000000002","0.78","16.600000000000001"
"75740","Mb-913_17","3","20","8","0.473383","0.55000000000000004","13.930300000000001","1.1839999999999999","1.58","25.1"
"75742","Mb-928_18","3","19","1","1.0052099999999999","2.2000000000000002","54.308599999999998","3.806","6.5","41.4"
"75743","Mb-930","3","33","6","0.93329200000000001","2.25","58.520299999999999","1.9279999999999999","3.3","41.6"
"75744","Mb-931_12","3","36","8","0.36401800000000001","0.65","43.997300000000003","1.1259999999999999","1.56","27.8"
"75745","Mb-933_11","3","24","10","1.33846","2.1","36.2637","1.627","2.2799999999999998","28.7"
"75753","Mb-974_19","3","17","12","1.59565","2.7","40.901800000000001","2.5289999999999999","3.8","33.5"
"75754","Mb-99","3","34","8","0.23421500000000001","0.35","33.081299999999999","0.81899999999999995","1.1000000000000001","25.5"
"75755","Mx-1548_12","3","17","5","0.78573800000000005","1.05","25.1678","1.444","1.86","22.3"
"76079","Mb-508","1","24","8","1.83E-2","2.9649999999999999E-2","38.279899999999998","NA","NA","NA"
"76082","Mb-505_1","1","27","16","0.20367299999999999","0.44","53.710700000000003","2.206","3.1160000000000001","29.2"
"76083","Mb-74","1","21","15","0.289329","0.5","42.1342","0.64300000000000002","0.84","23.5"
"76084","Mb-502_1","1","33","18","0.20935699999999999","0.4","47.660800000000002","1.2070000000000001","2.1429999999999998","43.7"
"76086","Mb-1043_32","1","12","12","4.0300000000000002E-2","5.4239999999999997E-2","25.700600000000001","0.28100000000000003","0.36799999999999999","23.7"
"76087","Mb-498_1","1","26","3","0.20396600000000001","0.4","49.008499999999998","0.624","0.91600000000000004","31.9"
"76089","Mb-1353_14","1","24","17","9.4727099999999995E-2","0.15","36.848599999999998","6.6379999999999999","8.7929999999999993","24.5"
"76090","Mb-146","1","28","13","0.17846200000000001","0.4","55.384599999999999","0.28999999999999998","0.39700000000000002","27"
"76100","Mb-1056_31","1","10","5","2.3050000000000001E-2","2.734E-2","15.6913","1.0489999999999999E-2","1.4189999999999999E-2","26.1"
"76104","Mb-255","1","8","18","6.3499999999999997E-3","8.6899999999999998E-3","26.927499999999998","NA","NA","NA"
"76110","Mb-104","1","39","4","0.309724","0.42","26.2562","1.8520000000000001","2.5979999999999999","28.7"
"76116","Mb-9","1","1","18","0.44650200000000001","0.55000000000000004","18.817699999999999","0.55100000000000005","0.77800000000000002","29.2"
"76121","Mb-102","1","23","10","9.3741000000000005E-2","0.16","41.411900000000003","0.46500000000000002","0.76700000000000002","39.4"
"76133","Mb-309","1","17","18","0.20792099999999999","0.45","53.795400000000001","1.0409999999999999","1.6779999999999999","38"
"76137","Mb-166","1","10","2","6.2899999999999998E-2","0.13120000000000001","52.057899999999997","NA","NA","NA"
"76154","Mx-1548_12","1","23","1","4.36E-2","7.0400000000000004E-2","38.068199999999997","0.31","0.40300000000000002","23.1"
"76158","Mb-425_1","2","27","6","0.11887499999999999","0.15","20.75","NA","NA","NA"
"76160","Mb-411","2","19","10","0.28092099999999998","0.4","29.7697","NA","NA","NA"
"76162","Mb-397","2","19","7","0.17066799999999999","0.25","31.732800000000001","0.307","0.46200000000000002","33.5"
"76169","Mb-383_1","2","31","3","0.10681300000000001","0.15","28.791599999999999","0.53800000000000003","0.67","19.7"
"76173","Mb-149","2","13","17","3.2631599999999997E-2","0.05","34.736800000000002","4.1750000000000002E-2","6.4549999999999996E-2","35.299999999999997"
"76187","Mb-167","2","17","11","0.197601","0.4","50.599600000000002","0.623","0.98499999999999999","36.700000000000003"
"76191","Mb-94","2","34","10","NA","0.01","NA","NA","NA","NA"
"76216","Mb-1130_51","2","25","10","7.9120099999999999E-2","0.1","20.879899999999999","2.82","3.802","25.8"
"76221","Mb-147","2","40","14","0.20331099999999999","0.25","18.6755","0.72499999999999998","0.98299999999999998","26.2"
"76222","Mb-914_13","2","7","10","0.481632","0.95","49.301900000000003","0.58299999999999996","1.024","43.1"
"76230","Mb-393_1","2","38","10","0.120339","0.15","19.774000000000001","0.30599999999999999","0.38500000000000001","20.6"
"76240","Mb-309","2","27","18","0.71569700000000003","1.25","42.744300000000003","1.796","2.7810000000000001","35.4"
"76244","Mb-166","2","39","13","4.8985500000000001E-2","0.1","51.014499999999998","0.224","0.36","37.9"
"76245","Mb-31","2","33","17","0.386853","0.5","22.629300000000001","0.33400000000000002","0.48499999999999999","31.2"
"76255","Mb-498_1","3","1","18","2.6372E-2","0.05","47.256100000000004","2.53E-2","8.9200000000000002E-2","71.599999999999994"
"76256","Mb-147","3","2","17","0.26575300000000002","0.4","33.561599999999999","1.6319999999999999","2.06","20.8"
"76262","Mb-502_1","3","4","14","3.40617E-2","0.05","31.8766","6.9000000000000006E-2","0.12","42.3"
"76264","Mb-146","3","5","2","0.114588","0.15","23.607800000000001","0.33900000000000002","0.54","37.200000000000003"
"76272","Mb-505_1","3","10","9","7.8194200000000005E-2","0.1","21.805800000000001","0.29199999999999998","0.46","36.4"
"76275","Mb-102","3","11","7","0.195046","0.35","44.272399999999998","0.41499999999999998","0.64300000000000002","35.4"
"76282","Mb-74","3","14","5","3.38667E-2","0.05","32.2667","6.0999999999999999E-2","8.7650000000000006E-2","30.4"
"76284","Mb-508","3","15","11","4.0652199999999999E-2","0.05","18.695699999999999","7.4950000000000003E-2","0.1017","26.3"
"76289","Mb-109","3","17","6","0.27066699999999999","0.4","32.333300000000001","1.5449999999999999","2.2599999999999998","31.7"
"76308","Mb-425_1","3","25","15","3.4250000000000003E-2","0.04","14.375","0.122","0.16","23.8"
"76313","Mb-383_1","3","26","9","0.16939499999999999","0.2","15.3025","0.29299999999999998","0.443","33.9"
"76315","Mb-1353_14","3","26","10","8.2162200000000005E-2","0.1","17.837800000000001","0.34","0.42","19"
"76319","Mb-149","3","28","7","0.25484400000000001","0.4","36.289000000000001","1.3720000000000001","1.86","26.2"
"76323","Mb-94","3","29","15","4.4371099999999997E-2","0.05","11.2578","6.3E-2","0.08","20.6"
"76325","Mb-1130_51","3","29","16","0.29486299999999999","0.35","15.753399999999999","0.88600000000000001","1.24","28.6"
